Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
Online Behavior>United States>Autos and Vehicles>Brands>Porsche,320x50,Sign up Today - 10% Off,"Chicago, Illinois",msn.com,OpenX,Smartphone,3196231,8745,2013324,2669103,70,"$5,756.27",$82.23,0.27%,$0.66,$1.80,0.80%,$2.86,75.4307346
Travel and Tourism>Interest (Affinity)>Products>Hotels and Lodging,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",mail.yahoo.com,Smart RTB+ (Smartadserver),Smartphone,679098,1984,467726,634589,9,"$1,477.42",$164.16,0.29%,$0.74,$2.18,0.45%,$3.16,73.70534314
US>Brand Propensities>Media and Entertainment>Steam Community Buyer Propensity,320x50,Sign up Today - 10% Off,"San Francisco, California",mail.yahoo.com,Google Ad Manager,Smartphone,780475,2186,453974,691696,11,"$1,726.25",$156.93,0.28%,$0.79,$2.21,0.50%,$3.80,65.63201175
US>Interest Propensities>Insurance>Transamerica,300x250,Sign up Now - 10% Off,"Chicago, Illinois",yahoo.com,Google Ad Manager,Apple PC,598460,1654,201153,557263,13,"$1,689.74",$129.98,0.28%,$1.02,$2.82,0.79%,$8.40,36.09660071
Lotame>Social Media,300x250,Sign up Now - 10% Off,"Chicago, Illinois",msn.com,Google Ad Manager,Smartphone,554980,1542,323498,467646,8,"$1,600.77",$200.10,0.28%,$1.04,$2.88,0.52%,$4.95,69.17582958
Mobile - US>Automotive>Vehicle Ownership>yes,300x50,Sign up Today - 10% Off,"Chicago, Illinois",mail.yahoo.com,Google Ad Manager,Smartphone,562103,1450,340616,488921,8,"$1,733.83",$216.73,0.26%,$1.20,$3.08,0.55%,$5.09,69.6668787
Media and Entertainment>Connected TV and Over-the-Top (CTV and OTT),300x250,Sign up Today - 10% Off,"Chicago, Illinois",streetinsider.com,Google Ad Manager,Smartphone,756687,1984,442979,611813,14,"$2,453.00",$175.21,0.26%,$1.24,$3.24,0.71%,$5.54,72.40431308
US>Brand Propensities>Automotive>Tirerack.com Buyer Propensity,300x250,Sign up Today - 10% Off,"Nashville, Tennessee",mail.yahoo.com,Google Ad Manager,Smartphone,482834,1269,292059,428761,7,"$1,594.46",$227.78,0.26%,$1.26,$3.30,0.55%,$5.46,68.11696959
US>Brand Propensities>Health>Beauty and Cosmetics>SkinCareRx Buyer Propensity,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",ebay.com,Yahoo Exchange,Smartphone,435848,1058,274912,415601,15,"$1,554.44",$103.63,0.24%,$1.47,$3.57,1.42%,$5.65,66.14806028
Online Behavior>United States>Finance>Accounting and Auditing>Accounting and Auditing,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",yahoo.com,Yahoo Exchange,Smartphone,1767940,4852,881525,1550866,78,"$7,511.66",$96.30,0.27%,$1.55,$4.25,1.61%,$8.52,56.84082313
